uri,artis_judulLagu,Label
1aPzi6BINcQAhxtVHzWixK,FLEUR! - Lagu Lama,saat semua pada tempatnya lagi-lagi kau datang bawa cerita lama logika tak bernyawa hadirmu mengganggu tenangku habi sabar ku dengar tak ada ujungnya janji 'tuk berbeda kapankah engkau sadar ku tahu semua hanya basa basi akhirnya selalu beradu akal dengan tempramen tinggi lagu lama! ... fleur! indonesianindi
1JPCdPcrQsYsAspPa7vOvN,Indische Party - Waiting For You,"if you want me whi don't you call me if you miss me whi wont you say if you want me whi dont you just say to me i will be waiting, alway be wait for you alway be wait ... if you want me whi don't you call me pride will onli gonna hurt yourself ... indischeparti indonesianindi"
4kJD28mifEaBrPXXHZ3re7,The Panturas - Tipu Daya,"satu jengkal belati siap mencabik nadi pecundang di perantauan gelar dia hari ini dirundung kenyataan fakta yang mencengangkan rusak perangai yang dia ciptakan boyak sudah, citra berantakan melayang, bak camar menembu awan bayangkan sanjungan harum semerbak mawar ... thepantura indonesianindi"
0u7Y9O9zcLRsmjK9idr83c,.Feast - Di Padang Lumpuh,"siapa siap meninggal? siapa siap ditinggal? siapa tahu harga perubahan tapi tak siap bertemu ajal? kita banggakan yang dulu saja bakar ban, tutup jalan, lempar segala bicara dengan megafon sampai berbusa anti-kritik hampir sama dengan istana nama demi nama jadi senjata tiap kali ditanya ""kau tahu apa?"" berdiri di ata pendapat orang mati tak bisa berlari dengan mulut sendiri hiduplah tanahku, negeriku, rumahku bangsa para korban gala raya bumi digdaya ... .feast indonesianindi"
58ourzCt3VFuymu022tK38,.Feast - Dalam Hitungan,"aku tak berguna jika tak diukur angka bertobat di media, tuhan pasti salah sangka mimpi butuh dana, ""engag rate-mu berapa?"" terka jarak berita, tragedi milik siapa? memahat citra sesuai standar-nya surga buka cabang, kita semua pialang seratu ribu per sepuluh giga(byte) akhirat yang adil, semua orang berwenang sekarang semua tidur tenang cek lagi besok pagi keselamatan kita membangun bersama tuhan yang baru dunia yang berani ... .feast indonesianindi"
49XXrWxrmBU34mNMpxsSfG,Barasuara - Pancarona,"melarutkan anganku hati yang meninggalkanmu membiru, membisu mereka lambat laun kan merasa tak kuasa menahan geram batinmu angkasa, samudra terhampar jawaban kau mulai meragu akan isi hatimu ... barasuara indonesianindi indonesianindierock"
32tz3G0WzWEm2bUbW6pgyw,Glaskaca - Atom,turunkan pandangan merenungi jejak yang sempat megah terpahat di ata pasir tetap tersapu ombak berdesir tak sempat terbayangkan pusat pusaran adalah khayalan semua yang terekam hilang temaram ... glaskaca indonesianindierock
1xdvyDZZLVzDwLDU85ePBn,Barasuara - Hagia,sempurna yang kau puja dan ayat-ayat yang kau baca tak kurasa berbeda kita beba untuk percaya sempurna yang kau puja dan ayat-ayat yang kau baca tak kurasa berbeda kita beba untuk percaya sempurna yang kau puja ... barasuara indonesianindi indonesianindierock
0mD2oRksOCjlfqr3snU96p,Barasuara - Sendu Melagu,semua yang kaurindu semua menjadi abu langkahmu tak berkawan kau t'lah sia-siakan waktu yang kautahu waktu yang berlalu ingatmu kau merayu ingatnya kau berlalu sendu melagu sendu melagu sendu melagu ... barasuara indonesianindi indonesianindierock
6rCFDbq5RdQvg8qrIj1LH3,Zat Kimia - Reaktan,di semesta (di semesta) ada kita (ada kita) manusia (manusia) bagian darinya selalu bereaksi bersama dia semesta 'kan mencari cara 'tuk wujudkan buah vibrasimu semesta bereaksi bersamamu beri dia yang terbaikmu karena dia ... zatkimia baliindi indonesianindi indonesianindierock
70D2DDWYoD1gTpO2WfRStJ,The Schuberts - Twenty Something,"bodi of the world of polyphon scare by the holi matrimoni we'r in a verg of someth smash young and, twenti someth foul-mouth and crystal heart all around loud cheer and awkward eyes, say that ""careful, make no mistakes, babe"" ... theschubert indonesianindierock"
0HA0Z2c9zzDB5WrpngtqxY,Reality Club - Telenovia,"all along the west, we look to the east the answer' there in silhouett but silver' all abov our head all along we were addict to the kind of shape our pain afflict wrest till the monochrom moonlight it' a shade that we will never be i know i'm wast time by leav you behind i know coupl week ago you were so vivid in my mind and when i wake up tomorrow, will i see anoth dawn? as the day turn so hollow, ... realityclub indonesianindi"
73aE2L4Y6Jt76GW1HXnAvR,.Feast - Belalang Sembah,"kusimpan tubuhmu dalam kantong kiriku setiap saat kulit ini hendak begesekan keringat bertemu saat jari ke kanan tak percaya semua yang kulihat dari layar, hmhmm kecuali apa yang keluar dari milikmu yang hakiki hanya tokoh profil lekukmu namun sabun kita berlumuran dan tubuhmu dibalut hal berbeda tiap malam saat ini ku masih figuran muram tapi jadikanku belalang sembah ... .feast indonesianindi"
5jbEHi5ZEFi2Jba1r1jLJG,Purpla - Timur Jakarta,"sore ini ku mengarungi hari melintasi debu-debu pembangunan terbesit hari-hariku di timur jakarta yang takkan bisa terlupa semua terasa tak jauh berbeda kalimalang setia dengan warnanya berdamp dengan para pengendara nostalgia pun bawa ku lebih dalam oooh, di timur jakarta aku dan kawan-kawan ku beranjak dewasa oooh, di timur jakarta ku belajar bersama tuk mengarungi dunia ... purpla indonesianindierock"
6P303Kjk0CWRtDU2ZjBzar,Midnight Fusic - Sandiwara,"bercanda tiada habis, bertukar jiwa tertawa hingga pagi, tenangkan resah tak perlu bersedih kali ini kita 'kan kenang cerita hari ini 'tuk masa datang tak perlu sendiri, gulana menangis, merana dan bila ... midnightfus malaysianindi"
0aPepMh9otBMbV4xKmiRtq,The Panturas - Tafsir Mistik,wahai setan yang bersembunyi di antara makna dan tak mempan diusir dengan ruqyah merasuki bangunan kepala dan mengendap hingga jadi lumrah ruang khayal yang telah kau buka beri pembenaran pada dosa-dosa manusia yang takabur neraka dan coba ciptakan swanirwana ... thepantura indonesianindi
3ZqDDAJ5XKh3gkwLE6Q4XS,"L'Alphalpha - Pulang, Kembali",setelah sekian lama kukejar mimpi yang sederhana hari-hari yang t'lah kulalui hadapi rintang yang tak sederhana dalam lelah aku teringat akan waktu yang kurindukan tempatku pulang dan kulabuhkan segala gundah yang kurasakan dan ketika sudah tiba waktuku menuju pulang kunantikan setiap senyum wajahmu ... l'alphalpha indonesianfolk indonesianindi
7qUkZhXym0LCTdcmwhGO3b,The Adams - Konservatif,siang kusaksikan engkau terduduk sendiri dengan kostummu yang berkilau dan angin sedang kencang-kencang berhembu di jakarta dan aku 'kan berada di tera rumahmu saat air engkau suguhkan ... theadam indonesianalternativerock indonesianindi indonesianindierock
6Rd4ep779v8CjlFVhaHrNX,"Banda Neira - Yang Patah Tumbuh, Yang Hilang Berganti","jatuh dan tersungkur di tanah aku berselimut debu sekujur tubuhku pana dan menyengat rebah dan berkarat yang... yang patah tumbuh, yang hilang berganti yang hancur lebur akan terobati yang sia-sia akan jadi makna yang teru berulang suatu saat henti yang pernah jatuh 'kan berdiri lagi yang patah tumbuh, yang hilang berganti ... bandaneira indonesianfolkpop indonesianindi indonesianpop"
46JZfTdDzyiMlMZKqku2Qn,Dialog Senja - Lara,ketika senja datang ku merasa setengah diriku menghilang bagaikan tak berdosa kau hancurkan rasa yang selama ini kutanam saat semuanya telah pergi bayangmu kembali mengisi entah apa yang kau mau ku tak berhak lagi 'tuk mengungkit kembali menghapu tinta yang pernah kau luki di kanva hatiku merobek semua bayangan yang tampak di relung sukmaku ... dialogsenja indonesianfolk indonesianindi
0gQYTx2gb8fUHr9rPwBWSV,Dialog Senja - Bekas Luka,semua kelaraan ini teru berlanjut musim pun telah berganti karang pun terkiki menjadi pasir aku tahu semua telah terjadi kefanaan ini membuatku lemah tak bernyali lantunan nada merasuk sukma fana membawa luka lama lupakan indah hilangkan semua semesta pun rela menerima seperti malam heningkan ramainya dunia ... dialogsenja indonesianfolk indonesianindi
4vWCcSVze8kpmrdUJvr7xQ,Garamerica - Heart In a Cup,you will not know what i'm fight for you will not see feel what i'm search for 'caus your eye are the air run through my lung i will not know what you want from me we both won't hold fate to the same road 'caus your eye are the air run throgh my lung ... garamerica indonesianfolk indonesianindi
5zprFhlIfAoOJZ8MzYqO8v,Banda Neira - Sebagai Kawan (Menampilkan Jeremia Kimosabe),jangan berdiri di depanku karena 'ku bukan pengikut yang baik jangan berdiri di belakangku karena 'ku bukan pemimpin yang baik berdirilah di sampingku sebagai kawan kawan kawan kawan kawan ... bandaneira indonesianfolkpop indonesianindi indonesianpop
6tGbCGNv2jxMSqfQ7pxo17,Banda Neira - Esok Pasti Jumpa (Kau Keluhkan),"du-du-du-du-du-du-du-wei, wei kau keluhkan awan hitam yang menggulung, tiada surutnya kau keluhkan dingin malam yang menusuk hingga ke tulang hawa ini kau benci dan kau inginkan 'tuk segera pergi berdiri angkat kaki tiada raut riangmu di muka pergi segera hu, hu, hu-uh hu, hu, hu-uh hu, hu, hu-uh hu, hu ... bandaneira indonesianfolkpop indonesianindi indonesianpop"
6OAz55LXyPBdZhaxE761Mi,Silampukau - Malam Jatuh Di Surabaya,gelanggang gana 5:15 di ahmad yani yang beringa sinar kune merkuri pendar celaka akhir hari malam jatuh di surabaya ... silampukau indonesianfolk indonesianindi surabayaindi
