judul_lagu;nama_artis;playlist_name;url;genre_lagu;lyrics
Keadilan Untuk Siapa;Uncle Djink;Top Reggae Indonesia;4pXwbRdnRhsEX5s1NrCDNA;['indonesian reggae'];"Kaum buruh bekerja Demi keluarga tercinta Kini mulai terancam Kar'na suara yang dibungkam  Tuan-puan bicara Tawarkan keadilan ""Ini untuk siapa?"" ""Tak tahu jelas,"" jawabnya  Tolong, renungkanlah Tolong, rasakanlah ..."
Pesta Pantai;Tony Q Rastafara;Top Reggae Indonesia;7eCDJCcrq6YCLXidF08ueZ;['indonesian reggae'];Angin laut semilir bertiup suara ombak di tepi pantai goyang kaki, kaki telanjang... ahha asik nian ikuti irama musik  pesta pantai perta pantai pesta pantai perta pantai  ...
Jalan - Jalan;Shaggydog;Top Reggae Indonesia;3ucm48GNC3keMysr6TnVc5;['indonesian indie'];Hei Mau kemana kita hari ini, Parjo? Wa ndak tau ini nanti Tergantung angin ajalah Oe oe setuju aja mau kemana Tapi nyanyi dulu ya  Enam hari sudah lamanya Bekerja keras bagaikan kuda Akhirnya ujung pekan tiba Saatnya jalan jalan bersama (asyik)  Pergi jauh keluar kota Lewati desa-desa Pikiran segar, hati jadi riang Duhai asyiknya  Jalan-jalan di akhir pekan Lihat ke kiri dan kanan Pohon-pohon dan burung-burung Semua menyambut riang  Okey He Butet ...
Kong Kali Kong;Tony Q Rastafara;Top Reggae Indonesia;5sMtgArdvgjd8NcYOHwwt2;['indonesian reggae'];Diputar, diputar-putar, kongkalikong, kongkalikong Diputar, diputar-putar, kongkalikong, kongkalikong Cokot-cokotan, cokot-cokotan, saling tuduh, saling gigit Cokot-cokotan, cokot-cokotan, saling caplok Semakin bosan kita dibuatnya, biar lupa akar masalahnya  Terombang-ambing, terombang-ambing Masyarakat terombang-ambing Melihat kenyataan tingkah para pemimpin Yang telah disumpah untuk menjadi pemimpin Yang seharusnya bertanggung jawab  Pada kita semua yang dipimpinnya Bukan sebaliknya terus membabi buta Proyek ini, proyek itu, demi keuntungan diri sendiri ...
Witing Tresno;Tony Q Rastafara;Top Reggae Indonesia;0Kwa4baGMXTrqmwL5WlJky;['indonesian reggae'];Pertama beta mengenalmu Rasanya biasa-biasa saja (Cuma biasa saja) Kedua, berteman denganmu Lama-lama kujatuh hati padamu  Bercanda tawa bersama Bahagia karena saling suka Kadang cemburu mewarnai hari-hari Huh, kita berdua  ...
Putuskan Saja Pacarmu;Bravesboy;Top Reggae Indonesia;3mHqANRsDYvDoRPR1YlrW4;['indonesian reggae', 'indonesian ska'];Ku tau kau sudah, sudah tak bahagia Cintamu cuma dianggap main-main saja Pacarmu yang kau anggap, anggap bagaikan raja Ternyata tak lebih dari seorang buaya  Coba bayangkan, coba renungkanlah Dirimu tak lebih hanya boneka saja Lebih baik putuskan, putuskan sajalah Cari cinta lain yang bisa buatmu bahagia  Wo-oo, karna ku memang pilihan Dan kau pun wajib, wajib untuk memilihku Wo-oo, karna ku memang pilihan Dan coba pilihlah, pilihlah aku  Putuskan saja pacarmu itu Pindahkan cintamu ke dalam hatiku Putuskan saja kekasihmu itu Agarku jadi pacarmu ...
Oh Cantik;Momonon;Top Reggae Indonesia;31Xt9ByLWBif8iEznar4ek;['indonesian reggae'];Lama ku tak bisa mencari cinta Disaat kugelisah, 'ku ingin menyapa  Tak mampu bicara tentang cinta Disaat kumencoba, kuyakin tak bisa  Oh, cantik, kau hanya jadi impian Kau bukan untuk disentuh hanya untuk di gupayang  Terpaku, terpana melihat senyumnya Ku malu 'tuk bertanya, kuyakin tak bisa ...
Tertanam;Tony Q Rastafara;Top Reggae Indonesia;4vSInIU84VRNz9Rp4bXYAq;['indonesian reggae'];Sisa lamunanku diguyur hujan Menghantar merangkai kata Malam telah menghanyutkan jiwa Menjenguk rindu yang menggebu  Kenyataan lahirkan kesadaran Menghalal keraguan Saat ini kita menuai cinta Maka biarkanlah waktu berjalan apa adanya  ...
Gudbye Anjing;Steven & Coconuttreez;Top Reggae Indonesia;6adPrMNm2AqHZZCH9RLtoi;['indonesian reggae'];"Enggak ada yang tersisa Cuma rasa kecewa Saat semua janji yang terucap kini enggak bermakna  Sesak di dalam dada Rasanya enggak percaya Saat kita musti terpisah dan lupakan semua Semua  ""By my side"" that the words you said that night And now just become the words with no action but lies Now you just wasting my time  ..."
Bersamamu;Souljah;Top Reggae Indonesia;0wsIqifXGH25VnC71Dafm1;['indonesian pop rock', 'indonesian reggae', 'indonesian ska'];Di setiap sudut kota Kutemukan dirimu ada Dan melambaikan tangan Menghantar kehangatan Ke dalam hatimu, sayang Kucoba 'tuk berikan Sejuta kenyamanan Dan tetaplah ada  Bersamamu 'Ku akan terus kembali Menikmati Wangi cinta dan matahari Bersamamu 'Ku akan terus kembali Menikmati Pelangi saat badai pergi ...
Don't Worry U ... Yeah - Akustik Version;Tony Q Rastafara;Top Reggae Indonesia;7KfriuwLQe20vbWgsGpujx;['indonesian reggae'];Yeah, mentari pagi beri salam lagi Suara burung ku sambut hari berganti Bob Marley masih bernyanyi Don't worry, uh-yeah  Jalani semua dengan apa adanya Biarlah waktu bicara bawa takdirnya Yok, kita lapangkan dada Don't worry, uh-yeah  Buatlah hidup ini semudah mungkin Nggak perlu disesali, bikin saja happy (Happy) Mengalir, nikmati, jangan bebani hati Yok, kita nyanyi bersama  ...
Sudah Sudahlah;Souljah;Top Reggae Indonesia;2BxdBN7l5r5dxj9yUJfkvi;['indonesian pop rock', 'indonesian reggae', 'indonesian ska'];Dan semua yang terjadi kini hanya rasa yang palsu Terus terjadi setiap hari demi hari Rasa sakit yang kau rasakan terulang, baby Dan terus-menerus berulang  Woi, andaikan aku bisa Sudahi cinta kita Yang penuh dengan rasa curiga Woi, andaikan aku bisa Andai kau lepas saja Mungkin kita 'kan lebih bahagia  Sudah sudahlah, baby Kita nggak bisa terus begini Berhentilah mencintai Dan biarkan aku pergi  Sudah sudahlah, baby Belum cukupkah sakit hati? Berhenti menyiksa diri Biarkan 'ku pergi  Walaupun kita kini telah lama bersama Saling menyayangi atas dasar nama cinta Namun rasa itu hilang entah ke mana Sebaiknya kita berpisah untuk lebih bahagia ...
Lagu Santai;Steven & Coconuttreez;Top Reggae Indonesia;5xNrCftiKTwkykqtTQLynE;['indonesian reggae'];You got sing this song for brother out there One two three four  Cinta yang sebenarnya indah sekali eh Kadang menipu dan bikin sakit hati yeah yeah Tapi lihatlah burung tetap bernyanyi yeah Terlalu indah untuk ditangisi yeah  Nyanyi lagu pantai Nyanyi lagu santai yeah Nyanyi lagu pantai Mari kita santai yeah  Cantik mengejar sesuatu yang belum pasti yeah ...
This Is My Way;Tony Q Rastafara;Top Reggae Indonesia;0wlq1hvB75WtcJyaAp8eAu;['indonesian reggae'];Sudah, sudah ku katakan (Sudah ku katakan) Sudah, sudah ku jelaskan (Sudah ku jelaskan)  Dari dahulu aku memang suka jalan ini Tak perlu kau tanyakan lagi mau kemana Segala problema, juga resikonya 'kan ku hadapi Jangan rayu lagi untuk mencoba jalan yang lain  This is my way (This is my way) I love my way (I love my way) This is my way (This is my way) ...
Hey Cantik;Shaggydog;Top Reggae Indonesia;00zzjdB9yyqegcHOEN2kKo;['indonesian indie'];Satu hal yang paling kusuka Dari dirimu Adalah ketika kupandang Kedua bola matamu, yeah  Oh, tak bosan, tak jemu-jemu Dan kupandang s'lalu Di saat engkau dekat atau jauh  Sayang, seribu sayang, kau ada yang punya Ku selalu bermimpi 'tuk bisa memilikimu, ho-ho-ho  Hei, kamu yang cantik Jangan berpaling dahulu Aku masih ingin memandangmu, oh, yeah  Hei, kamu yang cantik Ku ingin dekat denganmu ...
Satu Frekuensi;Souljah;Top Reggae Indonesia;6pOnmEtnsSKW9o0pl4wOjG;['indonesian pop rock', 'indonesian reggae', 'indonesian ska'];Satu hati, satu frekuensi Di kabut ini tersebar imajinasi Satu hati, satu frekuensi Pusatkan konsentrasi, mari lawan gravitasi  Satu hati, satu frekuensi Di kabut ini tersebar imajinasi Satu hati, satu frekuensi Pusatkan konsentrasi, mari lawan gravitasi  Bentangkan sayap, tenang mengudara Sadar akan merayap pelan di bawah gelap Diam dalam lamunan peretas imaji Organ-organ tanpa siaga, hilang kendali  Taruhlah kepala di meja Ganti pretensi dengan komedi-komedi indie satu frekuensi Biarkanlah sementara ini Du-du-du, la-la, di-di-di, semesta bertransformasi  Satu hati, satu frekuensi Di kabut ini tersebar imajinasi Satu hati, satu frekuensi ...
Cuma Main-Main;Tipe-X;Top Reggae Indonesia;0DRmKRP0RvIVTvExKN4ieG;['indonesian pop rock', 'indonesian ska'];Kita cuma main-main Jangan pikir lain-lain Apalagi jadi pacarku Nggak mungkin  Percuma kau rayu aku Percuma kau paksa aku Percuma semua percuma Percuma saja  Tapi tenang malam ini untukmu  Kalau sama-sama suka Buat apa mikir-mikir Malah cuma bikin pusing Nggak penting  Kau tau ku suka kamu ...
Bertahan;Steven Jam;Top Reggae Indonesia;6O2zWZvg7sbW0c7jqX43Ll;['indonesian reggae'];Hey ah Cu-ru du-ru ru cu-ru du-ru-ruru Cu-ruru curu-ruru ru-ru  Seringkali ku terbawa mimpi Tidurku gak usah jungkir balik lagi Keinginan semua terpenuhi Mereka yang ku percaya tepati janji, ye  Cu-ru du-ru ru cu-ru du-ru-ruru  Sakit hati lihat yang telah terjadi Banyak janji yang gak bisa ku nikmati Daripada terbuai mimpi-mimpi Mendingan kulakukan yang pasti-pasti  Kerja keras lagi Pasang badan lagi  Yang kupikirkan Bagaimana tetap bertahan ...
Kembali Berdansa;Shaggydog;Top Reggae Indonesia;2wUEPtqTxvWF0RlXpdi8b7;['indonesian indie'];Oh my brothers and my sisters Yes we expect on the dance floor one more time And welcome for the dinner haha. that's right Mari kembali lagi ke lantai dansa Mari nyanyikan lagi lagu yang sama Sudah kunantikan kau begitu lama Dan ku jaga api tetap menyala Mari kembali lagi ke lantai dansa Mari nyanyikan lagi lagu yang sama Sudah kunantikan kau begitu lama Dan ku jaga api tetap menyala Begitu lama. aku menunggu Tuk bisa lagi. berdansa denganmu Dan cukup lama. aku menghilang Kini kudatang sambutlah aku ...
Im Free;Souljah;Top Reggae Indonesia;2qRAqt9kxKcz3eeTpBOcAq;['indonesian pop rock', 'indonesian reggae', 'indonesian ska'];I'm free, I'm free I'm free like a bird and no one can tell me Aku kan slalu siap penuh energi Hadapi dunia yang lama ku nanti I'm free, I'm free I'm free like a bird and no one can tell me  Bermula dari awal yang sangat indah Hari harinya berjalan seperti biasa Tak pernah ia fikirkan satu masalah Semua dilepaskan tak disimpan di dalam dada One a troy control Semua orang pun bilang Seakan diotaknya hanya ada rasa riang Langkahnya cepat tepat penuh semangat Mengejar cita cita di waktu genggar  I'm free, I'm free I'm free like a bird and no one can tell me Aku kan slalu siap penuh energi Hadapi dunia yang lama ku nanti I'm free, I'm free ...
Move On;Souljah;Top Reggae Indonesia;1LF6CfyOTkiIV2mfQ10pu7;['indonesian pop rock', 'indonesian reggae', 'indonesian ska'];Yang di pilih yang di jalani Yang sakit di hatimu biarkanlah pergi Jika bukan sekarang mungkin terjadi nanti Yang terbaik datang bukan sembarang  Hidup yang berputar-putar, sulit, sukar Kita memang harus sabar Tarik nafas dalam dalam dalam tangismu Dan tersenyumlah  Hari yang indah telah menanti Usap dulu air matamu Kita nggak boleh terus disini Lupakanlah masa lalumu  Hari yang indah telah menanti Usap dulu air matamu ...
Hanya Ingin Pulang;Souljah;Top Reggae Indonesia;5BgVG99cG9QTZLhasksD8g;['indonesian pop rock', 'indonesian reggae', 'indonesian ska'];Seindah indahnya mimpiku Dan lautan di depan mataku Mengapa ku rasa sendiri Rindu yang terus menghantui  Hatiku tertinggal disana Terpisah pulau yang berbeda Dan rindu hati ini ku ingin kembali  Tak seperti anganku Tak seperti inginku Semua yang terjadi sakiti hatiku  Lebih dari yang ku mau dan Dari yang ku rasa ku hanya ingin pulang Lebih dari yang ku mau dan Dari yang ku rasa ku hanya ingin pulang  Melepas semua keraguan di hatiku Tuk meraih semua cita dan juga mimpi ...
Sorry;Souljah;Top Reggae Indonesia;5zACTHjFUQlR5d0RMQLPNO;['indonesian pop rock', 'indonesian reggae', 'indonesian ska'];Just so sorry I can't give you I got some out of ordinary love, I'm wishing you're not so sorry That I have to be and just like this way Don't you be so foolish, I love your more than yesterday  Now you want me living out of your heart I can't believe that you were loving me or you're not So sorry that I have to be and just like this way Just believe in you heart that you're always be my baby  Kau menghilang Ku tak percaya Hanya ini yang kau bisa  Setelah semua kisah Yang kau bilang indah Kau pilih pergi Dan kau sakiti  Kau cuma segini ...
Tak Selalu;Souljah;Top Reggae Indonesia;796ASjsQqxD4QOe9b5lm39;['indonesian pop rock', 'indonesian reggae', 'indonesian ska'];Set'lah semua yang pernah terjadi Kini di setiap hari-hariku Tak mau lagi diriku 'tuk mengulangi Kesalahan yang sama  Semua yang pernah kurasa, yang kucinta Hilang sekejap mata Semua yang pernah kurindu, yang kumau Kini pun semua sirna  Tak selalu, wo-oh Yang berkilau itu indah, wo-oh T'lah terbukti di dirimu, wo-oh Pergi dan sakitiku Wo-oh, oh-oh  Set'lah semua yang pernah terjadi ...
Ambilkan Gelas (feat. Ndx Aka);Shaggydog;Top Reggae Indonesia;4PBUGygmsTjrdYown3VvO5;['indonesian indie'];Terimakasih atas atensinya Masih Dari kawasan Saidan, Gondomanan, Jogja Bersama S h a G g y D o g Shaggydog Ambilkan gelas dik, ambilkan gelas Ambilkan gelas dik, ambilkan gelas Jangan biarkan aku menunggu ...
Reggae Disco;GANGSTARASTA;Top Reggae Indonesia;1nnQeA9NIdsOd4XKrYvaQu;['indonesian reggae'];A-ya-yaya ay Alright, this is Reggae time with Ganstarasta Indonesia Reggea soundtrack Bow to you king and queen to get ready to move your feet and sing your part for me That's right, mon Are you free, yeah  Reggae disco naikan tempo Sound system serba stereo Panaskan dancefloor deejay on da microphone Feel this ready what your waiting for  Reggae disco naikan tempo Sound system serba stereo Panaskan dancefloor deejay on da microphone Feel this ready what your waiting for  Semua tangannya keatas This is gangstarasta in the house Kini kami datang sambut dengan senyuman Hear the reggae music one more time. wo-yo  Bersiap untuk lepas landas Ini musik yang tak kenal batas Semua ikut rasakan mari kita rayakan Reggae music hitting one more time  Reggae disco naikan tempo Sound system serba stereo ...
Keroncong Perpisahan;Day Afternoon;Top Reggae Indonesia;4hSNlvqaoqEOsMOxNgR6Sc;['indonesian reggae'];Bukan keroncong pertemuan Tapi keroncong perpisahan Kita ngga pacaran lagi Langsung menikah saja  Tiada tangis dan derita Tapi tertawa bahagia Karena pada akhirnya Kita hidup bersama  ...
Terima Kasih;Rebellion Rose;punk indo;2YWv46SKOl0mrjfQpJ3Y7V;['indonesian punk', 'yogyakarta indie'];Tak pernah kulupakan walau kau jauh di sana Tak pernah berhenti doa mengalir bagimu Meskipun tidur di jalanan, belum lulus, dan pengangguran Tapi ku yakin suatu saat 'kan membanggakanmu  Maafkan aku yang belum bisa bahagiakanmu Belum mampu menjadi seperti yang kaumau Maafkan bila aku pernah buatmu kecewa Mohon maafku hanyalah bagimu  Tak pernah kulupakan walau kau jauh di sana Tak pernah berhenti doa mengalir bagimu Meskipun tidur di jalanan, belum lulus, dan pengangguran Tapi ku yakin suatu saat 'kan membanggakanmu ...
Sehat Selalu Sodaraku;Rebellion Rose;punk indo;2J4mjhS47Mzj01WauAYwVd;['indonesian punk', 'yogyakarta indie'];Berjumpa lagi, hei sodaraku Melepas rindu kita Bernyanyi lantang merdeka Sehat selalu, sodaraku  Malam Minggu di jalan Satu barisan ke depan Bergerak serentak Hari ini milik kita  Berdiri hadang truk yang melintas Atribut kebanggaan Tuak nomor dua Yang penting kita bersama  Bersama-sama berkumpul lagi Gila dan lepas kendali Angkat yang terjatuh Damai tanpa perusuh  Siapa itu bawa bendera Gagah dan mempesona Selamat berdansa Kita bakar suasana Dan bersiap  Jawa Timur, Tengah dan Barat ...
Aku, Kamu Dan Samudra;Rebellion Rose;punk indo;7lhy2horHMmvuO77iQEqMK;['indonesian punk', 'yogyakarta indie'];Senyum kecil mentari cerah menyapaku Di tepi pantai, ku menunggumu Sapa kicau burung tak lelah bernyanyi merdu Bernyanyi balada kau dan aku  Tanpa ragu, langkahku besar dan bermakna Di tanah penuh harapan kita Percayalah, Sayang, ku akan kembali pulang Jaga bangkuku di sebelahmu  Deru birunya ombak, tempat kita berjuang Melawan deras badai, luka problema Tak kenal siang dan malam, kita tak terkalahkan Hari ini hari milik kita  ...
Kekasih Tolol;SUPERIOTS;punk indo;7Mqwp47uBjxdAzQusKBGgm;['bogor indie', 'indonesian punk'];Masih terngiang teriakanmu di sini Saat kau berada di sini Semua karya yang kini kita miliki Tak lepas dari dirimu  Tapi kini kenyataan telah berubah Kau tak pernah ada waktumu Kau berubah karena kekasih tololmu Semua sikapmu berubah  Kau bodoh, kawan, hanya karena dia Kau bohongi kawan-kawanmu Kau bodoh, kawan, hanya karena dia Kau menjadi penghianat ...
Sampai Nanti;Threesixty Skatepunk;punk indo;1ICnFXNX2sUNo4R20LmjK0;['indonesian pop punk', 'indonesian punk'];Dimana kan kusimpan semua harapan ini Di saat kutemui jalan yang tak bertepi Seiring redup hati selimuti senyummu Tak mampu ku bergerak di sudut sempit ini  Jadilah pelita di kala redup hatimu Di saat tak mampu lagi diriku terangi gelapmu seperti dulu Teruslah melangkah walau kini ku tak berjalan di sampingmu Hingga kau pun berlabuh di akhir ujung jalanmu  Sampai nanti ...
Bulan & Ksatria;Superman Is Dead;punk indo;2Iw7F9BZgi0oGuu6kDumlU;['bali indie', 'indonesian pop punk', 'indonesian rock'];Jejak dendam perih meraksasa di angkasa Akan cinta yang besar dan terhalang durjana Manusia melacurkan diri di istana Namun tak demikian dengan bulan ksatria  Kekuatan cinta 'kan beri dia mahkota Bulan merana jingga hapus air matamu Ksatria datang dengan bendera tanpa pedang Di detik ini cinta adalah kebenaran  Tinggi menjulang menembus peradaban Melewati waktu melawan pembenaran Dan kini bulan menantikan gemilang Tangis, air matanya telah hilang  Derap kuda ksatria gagah dekati surga Walau neraka berjanji 'tuk menghabisinya Di pintu istana bulan merajah hatinya ...
Hilang Harapan;Stand Here Alone;punk indo;1J9Osz5GGXCkJlx3LUVPVp;['indonesian pop punk'];Sebelum gelap kita tertawa Berjanji setia sampai ujung masa Meski kau dan aku jauh di sana Ingat janji kita untuk selamanya  Hilang harapan Saat kau katakan semua telah usai Kau menemukan Yang baru kini aku kau tinggalkan  Meski sendiri aku 'kan bertahan Memegang janji yang kita ucapkan Berat rasanya hatiku berkata Semoga bahagia engkau dengannya  Selama mataku bisa menatap Kukenang kau sebagai memori kelam Ingin rasanya hatiku berkata Ingat janji dulu kita bersama ...
Ingin Hilang Ingatan;Rocket Rockers;punk indo;2dPE3VkQ62Ob5rRFi2hdOs;['bandung indie', 'indonesian indie', 'indonesian pop punk', 'indonesian rock'];Menghilanglah dari kehidupanku Enyahlah dari hati yang t'lah hancur Kehadiran sosokmu kian menyiksaku Biarkan di sini ku menyendiri  Pergilah bersamanya di sana Dengan dia yang ada segalanya Bersenang-senanglah sepuasnya Biarkan di sini ku menyendiri  Terlintas keinginan 'tuk dapat Hilang ingatan agar semua terlupakan Dan ku berlari sekencang-kencangnya 'Tuk melupakanmu yang t'lah berpaling (yang t'lah berpaling)  ...
Sebuah Rahasia;Pee Wee Gaskins;punk indo;60vGmExx06NNFDuoM3itAd;['indonesian emo', 'indonesian indie', 'indonesian pop punk'];Beranjak dan berjalan ke depan Basuh air mata dan cerita Saatnya melupakan  Jam berhenti di dua belas Kuhabiskan gelas demi gelas Membuat pahit sisa yang manis Sampai akhirnya kulupa  Dan kau percaya tak ada yang lebih baik dari ini Apanya yang bahagia dan kutertawa Tak akan ada cerita dalam sebuah rahasia  Lupakan saja dan jangan pernah kau kembali di sini Keringkan semua luka (Pergilah saja) Berlarilah karena kau akan kulupakan  Berhenti dan ingatlah sejenak Coba tetap berdiri tegak Dan membakar semua kenangmu  ...
Biarlah;Killing Me Inside;punk indo;4cH4D3i1obaD4FFLTFJVkC;['bandung indie', 'indonesian emo', 'indonesian pop punk', 'indonesian rock'];Semua yang berlalu Telah menjadi kenangan Dan seakan kulupakan Karena 'ku tak sejalan  Dan tak mungkin kubertahan Meski telah kucoba Semuanya tak berguna Terbuang sia-sia  Dirimu di hatiku ...
Salah;Pee Wee Gaskins;punk indo;08c4PK8mpIPiC50UqLDHYJ;['indonesian emo', 'indonesian indie', 'indonesian pop punk'];Selama ini kau masih merasa Aku s'lalu menantimu Dua minggu kau tak menghampiri Kar'na kau dengan yang lain  Ibanya hatiku sayang Kar'na pikiranmu salah s'lama ini Setiap kau tak datang sayang Padahal aku tak pernah ada di rumah  Selama ini aku pun mendua Tapi kau tak tahu sayang Pikirmu kau yang menyakitiku Bukan bukan kamu sayang  Ibanya hatiku sayang ...
Ikut Aku Ke Bulan;Pee Wee Gaskins;punk indo;1O0uGU6EcLEhdJX1B27sOC;['indonesian emo', 'indonesian indie', 'indonesian pop punk'];Kau datang di hidupku Buat 'ku tertawa lepas Saat 'ku sedih dan sendiri kesepian  Kawan, lihatlah ke depan Dunia terbentang panjang Kita lewati halang dan rintangan  Ambil satu bintang Yang paling terang Ikut aku ke bulan Saat pagi datang Rehat sejenak ...
Pergi Hilang Dan Lupakan;Remember of Today;punk indo;1rRhkSL28ko0rj9k8Gvdlb;['bandung indie', 'indonesian pop punk'];Dunia hari ini begitu tak berarti Tak berjalan cepat, seolah tak peduli Lambat laun ku bosan dengan hari ini Hari yang tak akan pernah berakhir  Semua t'lah berubah, sejalan dengan waktu Setiap detik berharga bagiku Waktu pun ingin kuubah 'tuk kembali tertawa Aku hanya bisa menangis, aku tak bisa  Maafkanlah diriku Atas semua kesalahan yang kuperbuat S'lama ini kepada dirimu  Dan ku berjanji akan melepasmu ...
My Heart Going Break;Threesixty Skatepunk;punk indo;1TuWAEuqqNQ4dAaOCQZ1kI;['indonesian pop punk', 'indonesian punk'];"Everyday and everynight I told you something sweet (As sweet as your smile) Then I call your name for make you understand I need you over here  On the night just like this We are lead the time for (Talk about our life) I don't ask you to understand at all I know you will leave me  Just wanna say sorry (Whoa-oh) For make you proud of me But the real I late to say ""All of those not the same""  ..."
Wanita Masih Banyak;Stand Here Alone;punk indo;5H60BCrbWBocSIAoZwjxwD;['indonesian pop punk'];Telah lama bersama, sekian lama bersama Namun, kaupilih dia 'tuk temani hidupmu Di mana rasa malumu? Di mana harga dirimu? Kaupilih dia ternyata lebih baik dariku  Tapi inilah aku, 'kan kunikmati hidupku Wanita masih banyak yang menunggu Aku salut padamu, kausakiti pria setampan diriku (sakiti aku) Juga meninggalkanku  Kulihat kau bersamanya, ternyata memang ku kalah Dari segi harta, ku tak punya apa-apa Ternyata cinta dan harta tak mungkin jauh terpisah Di mana ada harta, di situ ada cinta ...
Jav;Stand Here Alone;punk indo;5lHE26RSPc78V4G59MsVjG;['indonesian pop punk'];Nonton TV, gosip pagi, biasa Sinetron tentang SMA dan cinta Nonton kartun kena sensor, anehnya Buka handphone chat gak ada, sadisnya  Hidup membosankan tak punya pasangan Terkadang aku pun diacuhkan Berikan aku, berikan aku kekuatan  Hey kawan, semua tak perlu kau fikirkan Jadikanlah semua ini sebuah acuan Karena hidup selalu belajar dan belajar (Masa depan)  Lidah gua genggam, tangan gua kapalan ...
Kita Lawan Mereka;Stand Here Alone;punk indo;2rj9nnNMZQNs2pZAPWuvze;['indonesian pop punk'];Meski kami selalu dikucilkan Kami tak pernah berhenti 'tuk membuktikan Kepada semua orang yang selalu menganggap diri kami sampah Kami 'kan buktikan mereka itu sampah  Jalan yang kita lalui Kelam yang kita jalani, kawan Takkan mampu membuatku menjauh darimu  Bagai bintang yang bersinar Bersinar terang di atas awan Itulah arti persahabatan di antara kita  Dan takkan pernah pudar meskipun Banyak orang mencibir dan berfikir negatif tak pernah mengerti Kita 'kan teriakkan ...
Mantan;Stand Here Alone;punk indo;7x3BRHLIcbJ5ZJomHvxKTt;['indonesian pop punk'];Hatiku mendadak murka Saat kau berjalan dengannya Berdua begitu mesra Bagai sepasang pengantin muda  Seolah kau menunjukan inilah aku jagoannya Tinggalah aku seorang Sampai kini pun masih lajang  Lantas kau bertanya padaku Menanyakan keadaanku Ku berpura-pura tegar dan Tersenyum padamu  Jawabku baik-baik saja Ku ucapkan selamat bahagia Tapi satu hal yang tidak kau tau  Sampai di rumah aku menangis Meratapi perih nasib yang kualami Sungguh teganya kamu padaku ...
Indah Tak Sempurna;Stand Here Alone;punk indo;5bvLKnz3flORVpmBYcPwUU;['indonesian pop punk'];Terlalu banyak cerita, yang sering aku saksikan Terlalu banyak problema, terlalu sering ku dengar Andai kubisa bicara, kumohon tolong hentikan Hargai aku sebagai keturunan kalian Dan ku tak tahu apa apa Ibu tolonglah berhenti memakinya Ayah jangan memukulnya Entah siapa yang harus aku percaya Kebencian menghancurkan semua  ...
Move On;Stand Here Alone;punk indo;4tWZkNLe7V7GtBt07MJ5FU;['indonesian pop punk'];Dulu kau biarkan aku terluka Acuhkan semua yang kulakukan Tak sedikit luka yang kau berikan untukku  Dimana kulihat dan kudengar engkau bahagia Kau tinggalkan aku demi sosok dirinya Dan kau pun tertawa melihatku menderita  Tanpa kau tahu kini aku telah berubah Lebih banyak waktuku tanpa dirimu, tanpa hadirmu  Kini ku hanya tertawa mengingat kisah lama Saat dimana k mengejarmu dan kuterluka Kini ku bisa tertawa melihat kau dan dia ...
Dewi;Threesixty Skatepunk;punk indo;54HNbOc3lPQiQZ6Ugytl5l;['indonesian pop punk', 'indonesian punk'];Dewi Bintang kecilku yang pilu Coba pahami arti hidupku Di setiap langkah dari arah yang kau pilih 'Tuk dapatkan engkau cari  Dewi Berikanlah senyum itu Buat dunia takluk di kakimu Walau seribu tombak menghujan jantungmu Jangan pernah kau menangis  Dewi Rebahkan semua letihmu Padamkan api kecilmu Sejenak terlelap dalam mimpimu Hingga pagi menjemputmu  ...
Cinta Pembodohan;Marjinal;punk indo;5ECzScjDchkdHWxSXRRDsy;['indonesian punk'];Dunia punya cerita Cerita tentang cinta Cinta, cinta, cinta ta Cinta  Pada stres Dan nggak sedikit yang gila mati (mampus) Minum racun serangga Gantung diri di pohon jengkol Nubrukin badan ke bis kota yang sedang mangkal Lompat melompat dari gedung bertingkat Karena cinta Demi cinta  Hei, kaw-kaw-kawan terlihat cemen (Aih, kita 'kan anak gaul lagi)  Dengernya pun lagu cengeng ...
Punk Hari Ini;Superman Is Dead;punk indo;3jFLkK5G0NVcOzsDGbjMsm;['bali indie', 'indonesian pop punk', 'indonesian rock'];Waktu terus berjalan, tiada yang di sisimu Ingin keluar 'tuk dapatkan pemikiran baru Kukesal hari ini melihat di sekitar Semuanya sama dan seragam Korban dari majalah  Dia pikir dia berbeda Dan semua band mengkopi Blink Di manakah pemberontak engkau bersembunyi? Bukankah ini penting Dan perasaanku membunuhku!  Kubenci semua yang tak pasti wo, oo Rambut spikey dibilang funky wo, oo Mall dipenuhi lambang anarki wo, oo ...
Sunset Di Tanah Anarki;Superman Is Dead;punk indo;1bfbixjy7OPG2n3MbLKrKu;['bali indie', 'indonesian pop punk', 'indonesian rock'];Inilah Radio Revolusi Indonesia Mempersembahkan sebuah langgam nostalgia  Andai ku malaikat, kupotong sayapku Dan rasakan perih di dunia bersamamu Perang 'kan berakhir, cinta 'kan abadi Di tanah anarki, romansa terjadi  Desing peluru tak bertuan Hari-hari yang tak benderang Setiap detik nyawa ini Kupertahankan untukmu  Alasanku ada di sini Dan parasmu yang kurindukan Di neraka 'kan kumenangkan Hariku bersamamu  Andai ku malaikat, kupotong sayapku Dan rasakan perih di dunia bersamamu ...
