judul_lagu;nama_artis;playlist_name;url;genre_lagu;lyrics
Paintings/Pantings;Sajama Cut;Indie Rock Indonesia;1NwKzipXQdwRCSHmUGy25Q;['indonesian indie'];Rah! Yeah the sun it'll always shine And this picture of your behind You'll be mine for the hundredth and millionth time Again Pipe down a little Cut down the wall Tusk and a fiddle Cuss pounds to pore Fight means belittled Caisson (on) a horse I never cared Ripe are the liver Paint all the wall Bite down the little devil ...
The Sentiment;SMSR;Indie Rock Indonesia;4O5yuoPYHs1oU8ioYQTT6p;['indonesian neo-psychedelia'];When I was an infant kid They have been nurturing me Till this day and the through But past mistakes are gone The unconditioned love them to you ...
What They Do In The Summer;The Cat Police;Indie Rock Indonesia;5hk7uLXSKbNhQraDwXIhfq;['indonesian indie', 'indonesian indie rock'];Writers bring their pens to the coffee shop Telling all oh the unnecessary things Makes their coffee sweeter May the joy be with her  What they do in the summer? I only can guess, such a fun thing What happen to the lovers? They must be loving, take care of each other  She's staring at the window Reflecting her shadow Then what else you can do in this summertime? We're just making ripple We're just making ripple  What they do in the summer? I only can guess, such a fun thing What happen to the lovers? They must be loving, take care of each other  ...
Selancar;Erratic Moody;Indie Rock Indonesia;1paPwlZcB4QSKtIeDaymHR;['indonesian indie rock'];Lari di pantai, pantai di Kuta Kupanggil teman-temanku di hari itu Siap berlayar bersama paman nelayan Ku ambil selancar ke atas sana, aw ...
Lagu Lama;FLEUR!;Indie Rock Indonesia;1aPzi6BINcQAhxtVHzWixK;['indonesian indie'];Saat semua pada tempatnya Lagi-lagi kau datang bawa cerita lama Logika tak bernyawa  Hadirmu mengganggu tenangku Habis sabar ku dengar Tak ada ujungnya Janji 'tuk berbeda  Kapankah engkau sadar ku tahu semua hanya basa basi Akhirnya selalu beradu akal dengan tempramen tinggi Lagu lama! ...
Waiting For You;Indische Party;Indie Rock Indonesia;1JPCdPcrQsYsAspPa7vOvN;['indonesian indie'];if you want me why don't you call me if you miss me why wont you say if you want me why dont you just say to me i will be waiting, always be waiting for you always be waiting ... if you want me why don't you call me pride will only gonna hurt yourself ...
Tipu Daya;The Panturas;Indie Rock Indonesia;4kJD28mifEaBrPXXHZ3re7;['indonesian indie'];Satu jengkal belati Siap mencabik nadi Pecundang di perantauan Gelar dia hari ini  Dirundung kenyataan Fakta yang mencengangkan Rusak perangai yang dia ciptakan Boyak sudah, citra berantakan  Melayang, bak camar menembus awan Bayangkan sanjungan harum semerbak mawar  ...
Di Padang Lumpuh;.Feast;Indie Rock Indonesia;0u7Y9O9zcLRsmjK9idr83c;['indonesian indie'];"Siapa siap meninggal? Siapa siap ditinggal? Siapa tahu harga perubahan tapi tak siap bertemu ajal? Kita banggakan yang dulu saja Bakar ban, tutup jalan, lempar segala Bicara dengan megafon sampai berbusa Anti-kritik hampir sama dengan Istana  Nama demi nama jadi senjata Tiap kali ditanya ""Kau tahu apa?"" Berdiri di atas pendapat orang mati Tak bisa berlari dengan mulut sendiri  Hiduplah tanahku, negeriku, rumahku Bangsa para korban Gala raya bumi digdaya ..."
Dalam Hitungan;.Feast;Indie Rock Indonesia;58ourzCt3VFuymu022tK38;['indonesian indie'];"Aku tak berguna jika tak diukur angka Bertobat di media, Tuhan pasti salah sangka Mimpi butuh dana, ""Engagement rate-mu berapa?"" Terka jarak berita, tragedi milik siapa?  Memahat citra sesuai standar-Nya Surga buka cabang, kita semua pialang Seratus ribu per sepuluh Giga(byte) Akhirat yang adil, semua orang berwenang  Sekarang semua Tidur tenang Cek lagi besok pagi Keselamatan  Kita membangun bersama Tuhan yang baru Dunia yang berani ..."
Pancarona;Barasuara;Indie Rock Indonesia;49XXrWxrmBU34mNMpxsSfG;['indonesian indie', 'indonesian indie rock'];Melarutkan anganku Hati yang meninggalkanmu Membiru, membisu Mereka lambat laun  Kan merasa tak kuasa Menahan geram batinmu Angkasa, samudra Terhampar jawaban  Kau mulai meragu akan isi hatimu ...
Atom;Glaskaca;Indie Rock Indonesia;32tz3G0WzWEm2bUbW6pgyw;['indonesian indie rock'];Turunkan pandangan Merenungi jejak yang sempat megah Terpahat di atas pasir Tetap tersapu ombak berdesir  Tak sempat terbayangkan Pusat pusaran adalah khayalan Semua yang terekam hilang temaram ...
Hagia;Barasuara;Indie Rock Indonesia;1xdvyDZZLVzDwLDU85ePBn;['indonesian indie', 'indonesian indie rock'];Sempurna yang kau puja Dan ayat-ayat yang kau baca Tak kurasa berbeda Kita bebas untuk percaya  Sempurna yang kau puja Dan ayat-ayat yang kau baca Tak kurasa berbeda Kita bebas untuk percaya  Sempurna yang kau puja ...
Sendu Melagu;Barasuara;Indie Rock Indonesia;0mD2oRksOCjlfqr3snU96p;['indonesian indie', 'indonesian indie rock'];Semua yang kaurindu Semua menjadi abu Langkahmu tak berkawan Kau t'lah sia-siakan  Waktu yang kautahu Waktu yang berlalu Ingatmu kau merayu Ingatnya kau berlalu  Sendu melagu Sendu melagu Sendu melagu  ...
Reaktan;Zat Kimia;Indie Rock Indonesia;6rCFDbq5RdQvg8qrIj1LH3;['bali indie', 'indonesian indie', 'indonesian indie rock'];Di semesta (Di semesta) Ada kita (Ada kita) Manusia (Manusia) Bagian darinya Selalu bereaksi Bersama dia  Semesta 'kan mencari Cara 'tuk wujudkan Buah vibrasimu Semesta bereaksi Bersamamu  Beri dia Yang terbaikmu Karena dia ...
Twenty Something;The Schuberts;Indie Rock Indonesia;70D2DDWYoD1gTpO2WfRStJ;['indonesian indie rock'];"Bodies of the world of polyphonic Scared by the holy matrimony We're in a verge of something Smashed young and, twenty something  Foul-mouths and crystal hearts all around Loud cheer and awkward eyes, saying that ""Careful, make no mistakes, babe"" ..."
Telenovia;Reality Club;Indie Rock Indonesia;0HA0Z2c9zzDB5WrpngtqxY;['indonesian indie'];All along the west, we look to the east The answer's there in silhouettes But silver's all above our heads  All along we were addicted To the kind of shapes our pain afflicted Wresting till the monochrome moonlight It's a shade that we will never be  I know I'm wasting time by leaving you behind I know Couple weeks ago you were so vivid in my mind  And when I wake up tomorrow, will I see another dawn? As the days turns so hollow, ...
Belalang Sembah;.Feast;Indie Rock Indonesia;73aE2L4Y6Jt76GW1HXnAvR;['indonesian indie'];Kusimpan tubuhmu Dalam kantong kiriku Setiap saat kulit ini hendak begesekan Keringat bertemu saat jari ke kanan Tak percaya semua yang kulihat dari layar, hmhmm Kecuali apa yang keluar dari milikmu Yang hakiki hanya tokoh profil lekukmu  Namun sabun kita berlumuran Dan tubuhmu dibalut hal berbeda tiap malam Saat ini ku masih figuran muram  Tapi jadikanku Belalang sembah ...
Timur Jakarta;Purpla;Indie Rock Indonesia;5jbEHi5ZEFi2Jba1r1jLJG;['indonesian indie rock'];Sore ini ku mengarungi hari Melintasi debu-debu pembangunan Terbesit hari-hariku di timur Jakarta yang takkan bisa terlupa  Semua terasa tak jauh berbeda Kalimalang setia dengan warnanya Berdamping dengan para pengendara Nostalgia pun bawa ku lebih dalam  Oooh, di timur Jakarta aku dan kawan-kawan ku beranjak dewasa Oooh, di timur Jakarta ku belajar bersama tuk mengarungi dunia ...
Sandiwara;Midnight Fusic;Indie Rock Indonesia;6P303Kjk0CWRtDU2ZjBzar;['malaysian indie'];Bercanda Tiada habis, bertukar jiwa Tertawa Hingga pagi, tenangkan resah Tak perlu  Bersedih Kali ini kita 'kan kenang Cerita Hari ini 'tuk masa datang Tak perlu  Sendiri, gulana Menangis, merana  Dan bila ...
Tafsir Mistik;The Panturas;Indie Rock Indonesia;0aPepMh9otBMbV4xKmiRtq;['indonesian indie'];Wahai setan yang bersembunyi di antara makna Dan tak mempan diusir dengan ruqyah Merasuki bangunan kepala Dan mengendap hingga jadi lumrah  Ruang khayal yang telah kau buka Beri pembenaran pada dosa-dosa Manusia yang takabur neraka Dan coba ciptakan swanirwana  ...
Pulang, Kembali;L'Alphalpha;Indie Rock Indonesia;3ZqDDAJ5XKh3gkwLE6Q4XS;['indonesian folk', 'indonesian indie'];Setelah sekian lama Kukejar mimpi yang sederhana Hari-hari yang t'lah kulalui Hadapi rintang yang tak sederhana  Dalam lelah aku teringat Akan waktu yang kurindukan Tempatku pulang dan kulabuhkan Segala gundah yang kurasakan  Dan ketika sudah tiba waktuku Menuju pulang Kunantikan setiap senyum wajahmu ...
Konservatif;The Adams;Indie Rock Indonesia;7qUkZhXym0LCTdcmwhGO3b;['indonesian alternative rock', 'indonesian indie', 'indonesian indie rock'];Siang kusaksikan engkau terduduk sendiri Dengan kostummu yang berkilau Dan angin sedang kencang-kencang berhembus Di Jakarta  Dan aku 'kan berada di teras rumahmu Saat air engkau suguhkan ...
Yang Patah Tumbuh, Yang Hilang Berganti;Banda Neira;FOLK /INDIE INDONESIA;6Rd4ep779v8CjlFVhaHrNX;['indonesian folk pop', 'indonesian indie', 'indonesian pop'];Jatuh dan tersungkur di tanah aku Berselimut debu sekujur tubuhku Panas dan menyengat Rebah dan berkarat  Yang... Yang patah tumbuh, yang hilang berganti Yang hancur lebur akan terobati Yang sia-sia akan jadi makna Yang terus berulang suatu saat henti Yang pernah jatuh 'kan berdiri lagi Yang patah tumbuh, yang hilang berganti  ...
Lara;Dialog Senja;FOLK /INDIE INDONESIA;46JZfTdDzyiMlMZKqku2Qn;['indonesian folk', 'indonesian indie'];Ketika senja datang Ku merasa setengah diriku menghilang Bagaikan tak berdosa Kau hancurkan rasa yang selama ini kutanam  Saat semuanya telah pergi Bayangmu kembali mengisi Entah apa yang kau mau Ku tak berhak lagi 'tuk mengungkit kembali  Menghapus tinta yang pernah kau lukis di kanvas hatiku Merobek semua bayangan yang tampak di relung sukmaku ...
Bekas Luka;Dialog Senja;FOLK /INDIE INDONESIA;0gQYTx2gb8fUHr9rPwBWSV;['indonesian folk', 'indonesian indie'];Semua kelaraan ini terus berlanjut Musim pun telah berganti Karang pun terkikis menjadi pasir Aku tahu semua telah terjadi Kefanaan ini membuatku lemah tak bernyali  Lantunan nada Merasuk sukma Fana membawa Luka lama  Lupakan indah Hilangkan semua Semesta pun rela Menerima  Seperti malam Heningkan ramainya dunia ...
Heart In a Cup;Garamerica;FOLK /INDIE INDONESIA;4vWCcSVze8kpmrdUJvr7xQ;['indonesian folk', 'indonesian indie'];You will not know what I'm fighting for You will not see feel what I'm searching for 'cause your eyes are the air runs through my lungs  I will not know what you want from me We both won't hold fate to the same road 'cause your eyes are the air runs throgh my lungs ...
Sebagai Kawan (Menampilkan Jeremia Kimosabe);Banda Neira;FOLK /INDIE INDONESIA;5zprFhlIfAoOJZ8MzYqO8v;['indonesian folk pop', 'indonesian indie', 'indonesian pop'];Jangan berdiri di depanku Karena 'ku bukan pengikut yang baik Jangan berdiri di belakangku Karena 'ku bukan pemimpin yang baik Berdirilah di sampingku Sebagai kawan Kawan Kawan  Kawan Kawan ...
Esok Pasti Jumpa (Kau Keluhkan);Banda Neira;FOLK /INDIE INDONESIA;6tGbCGNv2jxMSqfQ7pxo17;['indonesian folk pop', 'indonesian indie', 'indonesian pop'];Du-du-du-du-du-du-du-wei, wei  Kau keluhkan awan hitam Yang menggulung, tiada surutnya Kau keluhkan dingin malam Yang menusuk hingga ke tulang  Hawa ini kau benci Dan kau inginkan 'tuk segera pergi Berdiri angkat kaki Tiada raut riangmu di muka Pergi segera  Hu, hu, hu-uh Hu, hu, hu-uh Hu, hu, hu-uh Hu, hu ...
